Station:CCNY -,,,,
Date,Time,O3,PM25C,CO
,,ppm,ug/m3LC,ppb
10/29/17,12:00 AM,0.035,2.9,0.13
10/30/17,12:00 AM,0.02,6.3,0.16
10/31/17,12:00 AM,0.015,8,0.18
11/1/17,12:00 AM,0.003,9.5,0.39
11/2/17,12:00 AM,0.01,11.3,0.43
11/3/17,12:00 AM,0.019,7.9,0.18
11/4/17,12:00 AM,0.021,5.8,0.19
11/5/17,12:00 AM,0.013,6.6,0.24
11/6/17,12:00 AM,0.012,8.8,0.19
11/7/17,12:00 AM,0.012,6,0.19
11/8/17,12:00 AM,0.007,6.8,0.23
11/9/17,12:00 AM,0.011,8,0.33
11/10/17,12:00 AM,0.025,6.1,0.16
11/11/17,12:00 AM,0.023,5.7,0.22
11/12/17,12:00 AM,0.01,10.5,0.41
11/13/17,12:00 AM,0.007,11.7,0.41
11/14/17,12:00 AM,0.016,,0.24
11/15/17,12:00 AM,0.013,,0.31
11/16/17,12:00 AM,0.017,6.2,0.2
11/17/17,12:00 AM,0.024,6,0.19
11/18/17,12:00 AM,0.011,8.4,0.34
11/19/17,12:00 AM,0.024,7.1,0.17
11/20/17,12:00 AM,0.019,7.6,0.18
11/21/17,12:00 AM,0.014,10.6,0.25
11/22/17,12:00 AM,0.015,9.7,0.37
11/23/17,12:00 AM,0.019,7.3,0.22
11/24/17,12:00 AM,0.008,10.6,0.29
11/25/17,12:00 AM,0.012,12.9,0.27
11/26/17,12:00 AM,0.02,7.1,0.18
11/27/17,12:00 AM,0.02,9.2,0.17
11/28/17,12:00 AM,0.019,9,0.25
11/29/17,12:00 AM,0.018,10,0.21
11/30/17,12:00 AM,0.008,8.6,0.36
12/1/17,12:00 AM,0.009,10.1,0.29
12/2/17,12:00 AM,0.006,9.1,0.34
12/3/17,12:00 AM,0.002,12.3,0.47
12/4/17,12:00 AM,0.006,16.8,0.5
12/5/17,12:00 AM,0.019,9.5,0.24
12/6/17,12:00 AM,0.018,7,0.18
12/7/17,12:00 AM,0.013,8.7,0.21
12/8/17,12:00 AM,0.011,9.2,0.2
12/9/17,12:00 AM,0.011,10.2,0.24
12/10/17,12:00 AM,0.013,11.6,0.22
12/11/17,12:00 AM,0.009,10.6,0.25
12/12/17,12:00 AM,0.014,9.6,0.23
12/13/17,12:00 AM,0.027,6.6,0.14
12/14/17,12:00 AM,0.016,10,0.25
12/15/17,12:00 AM,0.009,9.8,0.31
12/16/17,12:00 AM,0.009,12.6,0.26
12/17/17,12:00 AM,0.013,10.1,0.28
12/18/17,12:00 AM,0.003,15.1,0.45
12/19/17,12:00 AM,0.009,11.5,0.26
12/20/17,12:00 AM,0.023,8.9,0.18
12/21/17,12:00 AM,0.017,7.7,0.2
12/22/17,12:00 AM,0.004,12.4,0.48
12/23/17,12:00 AM,0.002,11.2,0.47
12/24/17,12:00 AM,0.019,8.4,0.22
12/25/17,12:00 AM,0.023,9.3,0.19
12/26/17,12:00 AM,0.025,8.9,0.18
12/27/17,12:00 AM,0.023,10.1,0.22
12/28/17,12:00 AM,0.027,8.1,0.19
12/29/17,12:00 AM,0.023,9,0.22
